session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
629e59475631406776c6ee79,5d096a5687e03b000176305c,RETURNED,2022-06-06 19:45:11.449000,,1870186.066804,59,1060,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
629e5956de758d9552c13282,5eaeb7b38955ea0009bd605d,APPROVED,2022-06-06 19:45:26.583000,2022-06-06 19:51:35.056000,368.473,46,451,8,96,2022-06-10 08:13:03.642000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e595d7e616d03a8696afa,5bc63a7e186a6500016a127d,APPROVED,2022-06-06 19:45:37.440000,2022-06-06 19:50:50.835000,313.395,34,876,2,100,2022-06-10 08:13:03.706000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
629e597531d211d08c5f3d7d,5aeb839a9457e00001052753,APPROVED,2022-06-06 19:46:00.674000,2022-06-06 19:53:15.669000,434.995,34,721,2,100,2022-06-10 08:13:03.767000,2B73928C,Ireland,United Kingdom,Full-Time,English,Ireland,Male,No
629e599f4d6d942bc1f85885,5ff64724d3fcc41cd1eeca8d,APPROVED,2022-06-06 19:46:43.561000,2022-06-06 20:08:37.384000,1313.823,37,146,1,99,2022-06-10 08:13:03.860000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
629e59b4c0b1612043cc14f4,5af578683aba4900015ec37a,APPROVED,2022-06-06 19:47:03.417000,2022-06-06 20:00:04.106000,780.689,61,1221,6,100,2022-06-10 08:13:03.928000,2B73928C,Portugal,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e59ba0d28d75a7c27a2dd,62975219c429dbffe036c625,APPROVED,2022-06-06 19:47:10.285000,2022-06-06 19:57:19.258000,608.973,39,49,0,100,2022-06-10 08:13:03.995000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e59bceb2007bb0dabc251,56f84c071b99b8000c365751,TIMED-OUT,2022-06-06 19:47:11.222000,,1870066.38203,53,308,2,100,,,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
629e59bfec7620aaa2e002aa,611ceae6cc4047f40f350c53,APPROVED,2022-06-06 19:47:14.865000,2022-06-06 19:51:44.254000,269.389,34,500,3,100,2022-06-10 08:13:04.067000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
629e59c1797875a2b5a1cb38,6072de5b2bfe59024374f08b,APPROVED,2022-06-06 19:47:15.666000,2022-06-06 19:53:34.039000,378.373,38,549,5,99,2022-06-10 08:13:04.148000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e59d0d32f435eabfb6765,5cae5f9c48514600183d8fac,APPROVED,2022-06-06 19:47:33.085000,2022-06-06 20:06:23.547000,1130.462,40,423,1,100,2022-06-10 08:13:04.216000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
629e59e32401fa50bb0c1684,5bd1ebd75c90120001d0f088,APPROVED,2022-06-06 19:47:50.935000,2022-06-06 19:59:46.642000,715.707,46,1107,3,100,2022-06-10 08:13:04.288000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e59f71fa63aa29f6ccd96,5f6c9d2ec9a73b06b88f19c2,APPROVED,2022-06-06 19:48:09.893000,2022-06-06 19:55:12.816000,422.923,44,524,8,98,2022-06-10 08:13:04.358000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e59fecdff0531ba513348,5f3c29b01c4817a51a7d9d3c,APPROVED,2022-06-06 19:48:18.025000,2022-06-06 19:58:03.358000,585.333,44,588,2,100,2022-06-10 08:13:04.435000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5a0b31e76ee214c83515,5f883e9080d4db2a8b9a77b5,APPROVED,2022-06-06 19:48:30.551000,2022-06-06 20:09:16.230000,1245.679,30,109,0,100,2022-06-10 08:13:04.512000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5a17b67d0968b4937d79,6101555460885dc993940821,APPROVED,2022-06-06 19:48:46.565000,2022-06-06 19:53:46.791000,300.226,44,251,2,99,2022-06-10 08:13:04.589000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
629e5a1d3ebda6e753bd5576,5bafad45f1f9ba00013f8983,APPROVED,2022-06-06 19:48:50.114000,2022-06-06 19:59:16.393000,626.279,59,660,0,100,2022-06-10 08:13:04.656000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5a27d20eb81ffd6adf12,60e41cfd4919c5ac3979003b,APPROVED,2022-06-06 19:48:58.429000,2022-06-06 19:59:10.570000,612.141,38,380,1,100,2022-06-10 08:13:04.730000,2B73928C,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
629e5a29aa5c62ab25e0e98c,58c714308158840001b5c676,RETURNED,2022-06-06 19:49:01.822000,,1869955.922393,46,551,5,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
629e5a313dbadeacb87ad8e2,5f9ef609d0edb74d9aa4d2e1,APPROVED,2022-06-06 19:49:14.830000,2022-06-06 19:57:36.427000,501.597,53,576,1,100,2022-06-10 08:13:04.810000,2B73928C,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
629e5a32ef575759606080a4,5f037a89487947293ca48870,APPROVED,2022-06-06 19:49:16.377000,2022-06-06 20:01:01.468000,705.091,57,181,0,100,2022-06-10 08:13:04.875000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5a4032988b8ee3520911,5c1da6adaaf13200014292cc,APPROVED,2022-06-06 19:49:27.902000,2022-06-06 19:59:09.645000,581.743,32,432,0,100,2022-06-10 08:13:04.946000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
629e5a405631406776c6ee80,5eac2b38e66aa2074015989b,TIMED-OUT,2022-06-06 19:49:22.792000,,1869935.003583,34,778,3,100,,,United Kingdom,United Kingdom,Full-Time,English,Ireland,Male,No
629e5a534ac9b2caa26d7272,60b778f22bec4cae8ca5cbc8,APPROVED,2022-06-06 19:49:44.391000,2022-06-06 19:57:23.861000,459.47,37,260,1,100,2022-06-10 08:13:05.015000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5a5dcb4aa58e27e3392d,5dd2ccb118beb62d260e6747,APPROVED,2022-06-06 19:49:53.175000,2022-06-06 20:00:09.283000,616.108,43,965,1,100,2022-06-10 08:13:05.088000,2B73928C,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
629e5a6255d08aab65c8a17c,59d40621f35ff40001914c87,APPROVED,2022-06-06 19:50:09.142000,2022-06-06 19:59:50.530000,581.388,38,479,5,98,2022-06-10 08:13:05.151000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5a6fe8adac9be34db3b4,597b0c6ed573480001404b95,APPROVED,2022-06-06 19:50:09.807000,2022-06-06 20:01:42.997000,693.19,34,1269,10,99,2022-06-10 08:13:05.219000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
629e5a6ffb7dc3a39f1bfa50,5e10ad92a6eb6078856a5067,APPROVED,2022-06-06 19:50:12.489000,2022-06-06 20:02:49.315000,756.826,40,172,1,100,2022-06-10 08:13:05.287000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5a704316dba4eb25508d,5f3a77e36b950d0961317ef0,APPROVED,2022-06-06 19:50:12.439000,2022-06-06 19:59:20.669000,548.23,26,329,6,98,2022-06-10 08:13:05.422000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,Yes
629e5a704ea3dad539ad692d,60734526fc3f36207efc18a1,APPROVED,2022-06-06 19:50:10.736000,2022-06-06 19:59:32.040000,561.304,28,193,3,99,2022-06-10 08:13:05.356000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5a81a832201341e6cef9,5a3c20a442e5230001171832,APPROVED,2022-06-06 19:53:45.791000,2022-06-06 20:04:55.288000,669.497,38,1094,16,97,2022-06-10 08:13:05.488000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5a9427d1bfb9bcd60d64,611e4473b1bc14664b7aa068,APPROVED,2022-06-06 19:50:48.854000,2022-06-06 19:58:49.431000,480.577,34,414,4,99,2022-06-10 08:13:05.555000,2B73928C,Albania,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5a985406925fb1379df6,5dd700957aa0d66a7aa8b8c5,APPROVED,2022-06-06 19:50:52.795000,2022-06-06 19:57:48.624000,415.829,41,738,9,96,2022-06-10 08:13:05.623000,2B73928C,United States,United States,Full-Time,English,United States,Male,DATA EXPIRED
629e5a9e951610a6332432ac,5c321ebf6558270001bd79aa,APPROVED,2022-06-06 19:51:00.611000,2022-06-06 19:57:36.842000,396.231,42,799,7,99,2022-06-10 08:13:05.689000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5aabb711dd14af081156,57824b69fa4465000113e18d,APPROVED,2022-06-06 19:51:11.271000,2022-06-06 19:55:05.879000,234.608,50,1058,28,95,2022-06-10 08:13:05.754000,2B73928C,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
629e5aafbfafbc2e1cfdb454,629e3fab063ee4fd03f92aa0,APPROVED,2022-06-06 19:51:16.860000,2022-06-06 20:01:53.325000,636.465,32,15,0,100,2022-06-10 08:13:05.826000,2B73928C,United States,United States,Unemployed (and job seeking),English,United States,Male,No
629e5ab068b22fa0b197fef2,5e12245e13ec5088f463b03b,APPROVED,2022-06-06 19:51:15.828000,2022-06-06 19:58:44.394000,448.566,48,424,1,100,2022-06-10 08:13:05.896000,2B73928C,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
